region	padj
chr6:18329788-18331788	2.00E-05
chr19:46886478-46888478	2.11E-05
chr1:161389170-161391170	2.14E-05
chr7:140230937-140232937	2.14E-05
chr11:59221946-59223946	2.35E-05
chr3:105352700-105354700	2.37E-05
chr6:7050610-7052610	2.37E-05
chr11:35235485-35237485	2.83E-05
chr1:157112219-157114219	2.87E-05
chr7:20448332-20450332	3.53E-05
chr7:20465708-20467708	3.56E-05
chr20:63853417-63855417	3.82E-05
chr6:137723842-137725842	4.95E-05
chr11:35076981-35078981	5.19E-05
chr3:129364359-129366359	5.53E-05
chr6:18500478-18502478	5.83E-05
chr22:49970141-49972141	6.38E-05
chr20:62616872-62618872	6.62E-05
chr20:50502514-50504514	6.81E-05
chr11:59223926-59225926	7.02E-05
chr3:196122054-196124054	7.23E-05
chr6:137950347-137952347	7.23E-05
chr6:28980911-28982911	7.71E-05
chr2:191665306-191667306	7.94E-05
chr11:35065488-35067488	9.04E-05
chr6:105982254-105984254	9.04E-05
chr7:6347839-6349839	9.04E-05
chr10:123994290-123996290	9.11E-05
chr11:117979429-117981429	0.000104903
chr1:32991769-32993769	0.000105746
chr15:64892705-64894705	0.000105746
chr17:67292599-67294599	0.000105746
chr11:59218097-59220097	0.000108271
chr3:49344709-49346709	0.00011162
chr20:49764338-49766338	0.000118862
chr1:206747614-206749614	0.000127316
chr19:46859727-46861727	0.000149998
chr9:131251758-131253758	0.000150676
chr7:2236470-2238470	0.00015235
chr11:35072942-35074942	0.000153397
chr6:89036310-89038310	0.000156707
chr7:5569100-5571100	0.000201683
chr15:64872222-64874222	0.000204579
chr2:234307795-234309795	0.000252287
chr3:105315286-105317286	0.000253773
chr17:50624659-50626659	0.000262842
chr3:50654094-50656094	0.000287381
chr10:80143357-80145357	0.00030153
chr1:32983757-32985757	0.000318296
chr15:64894773-64896773	0.000333139
chr6:159819699-159821699	0.0003489
chr8:81290362-81292362	0.0003489
chr1:160789205-160791205	0.000394204
chr6:159118868-159120868	0.000440623
chr6:149498675-149500675	0.000469428
chr1:267003-269003	0.000474353
chr6:113762499-113764499	0.000474353
chr6:137956699-137958699	0.000557568
chr21:25369591-25371591	0.000623045
chr14:70886472-70888472	0.000647941
chr6:159817431-159819431	0.00066592
chr19:35912798-35914798	0.000701652
chr20:62623253-62625253	0.000722289
chr6:7085678-7087678	0.000730874
chr20:23115443-23117443	0.000743802
chr6:142701848-142703848	0.000743802
chr6:43915098-43917098	0.000743802
chr11:65491972-65493972	0.000779359
chr20:23141851-23143851	0.000784253
chr17:8369103-8371103	0.000986313
chr5:140601728-140603728	0.001010683
chr9:105006204-105008204	0.001020976
chr11:61166568-61168568	0.001027029
chr1:89080283-89082283	0.001045285
chr16:72202082-72204082	0.001063206
chr17:82216238-82218238	0.001063206
chr19:40830919-40832919	0.001107333
chr4:88658542-88660542	0.001117312
chr15:99452084-99454084	0.001125401
chr1:89085106-89087106	0.001165621
chr9:71677251-71679251	0.001217191
chr11:78800464-78802464	0.001220884
chr12:92601688-92603688	0.001234608
chr6:137728005-137730005	0.001259019
chr3:119569427-119571427	0.001343173
chr6:170004831-170006831	0.001444518
chr5:60726406-60728406	0.001502629
chr2:28359988-28361988	0.001604363
chr5:136019907-136021907	0.001605425
chr7:20596901-20598901	0.00178424
chr6:137815133-137817133	0.001803962
chr7:20476060-20478060	0.001862475
chr11:5624279-5626279	0.001930014
chr3:105351034-105353034	0.001930014
chr5:148765700-148767700	0.002036603
chr7:157301437-157303437	0.002289246
chr6:27156969-27158969	0.002382469
chr3:122313649-122315649	0.002446415
chr12:92603202-92605202	0.002660216
chrX:30734812-30736812	0.002660216
chr8:1744978-1746978	0.002711755
chr7:106344930-106346930	0.00286254
chr10:44947524-44949524	0.002972439
chr20:36883105-36885105	0.003075945
chr3:153273019-153275019	0.003075945
chr4:7649215-7651215	0.003133539
chr7:30277946-30279946	0.003311961
chr12:7511886-7513886	0.003415434
chr1:206744034-206746034	0.003450937
chr17:14453940-14455940	0.003450937
chr6:170012899-170014899	0.003450937
chr6:4357984-4359984	0.0034987
chr2:229282181-229284181	0.00361171
chr16:11538743-11540743	0.003635192
chr19:2289238-2291238	0.003759454
chr2:113082807-113084807	0.003759454
chr15:70256760-70258760	0.003796706
chr3:138872608-138874608	0.003878976
chr2:229339345-229341345	0.003946852
chr15:79977712-79979712	0.004110708
chr12:108637582-108639582	0.004132024
chr21:42079933-42081933	0.004149204
chr11:102390166-102392166	0.004169264
chr2:96485317-96487317	0.004169264
chr11:69039951-69041951	0.00459289
chr1:167714155-167716155	0.004647297
chr2:144662414-144664414	0.004818899
chr10:110491600-110493600	0.005014234
chr15:99454130-99456130	0.005028024
chr2:28358584-28360584	0.00509558
chr6:159116257-159118257	0.005303366
chr5:181216669-181218669	0.005642249
chr6:37207118-37209118	0.005678883
chr12:116443295-116445295	0.00573333
chr15:74053223-74055223	0.00573333
chr3:138875078-138877078	0.00573333
chr19:54793695-54795695	0.005850348
chr4:141207120-141209120	0.005850348
chr3:37374705-37376705	0.005893898
chr6:37032430-37034430	0.006006621
chr11:35029526-35031526	0.006072924
chr17:57045383-57047383	0.006393726
chr2:219159626-219161626	0.006414928
chr4:88612516-88614516	0.006630374
chr8:131815554-131817554	0.006630374
chr12:7542007-7544007	0.006683402
chr16:57892369-57894369	0.006688753
chr1:204397776-204399776	0.006732467
chr11:65470742-65472742	0.00713932
chr1:212487803-212489803	0.007197282
chr6:30032497-30034497	0.007218885
chr17:68232010-68234010	0.007772309
chr6:7072922-7074922	0.007789419
chr18:50829839-50831839	0.007834377
chr3:49243877-49245877	0.008426287
chr20:3710884-3712884	0.008564332
chr3:46060524-46062524	0.008601981
chr20:1802032-1804032	0.008688192
chr3:138861822-138863822	0.008847156
chr8:1735249-1737249	0.009055751
chr15:41374059-41376059	0.009940371
chr9:3741740-3743740	0.01002979
chr7:156639640-156641640	0.010677323
chr16:11531336-11533336	0.011335555
chr19:54794974-54796974	0.011918564
chr17:62967635-62969635	0.012205048
chr3:46192631-46194631	0.012205048
chr2:234289191-234291191	0.012318843
chr6:30101645-30103645	0.012322111
chr6:18472685-18474685	0.012336766
chrX:109500527-109502527	0.012614245
chr11:119509033-119511033	0.013032069
chr19:18167344-18169344	0.014251579
chr1:119612758-119614758	0.014360421
chr1:244318748-244320748	0.014470847
chr10:102444034-102446034	0.014977448
chr3:138841530-138843530	0.014977448
chr3:194571981-194573981	0.015679037
chr16:14284892-14286892	0.015891848
chr6:27478312-27480312	0.016247298
chr2:68856786-68858786	0.016356672
chr1:159798179-159800179	0.016804181
chr17:7393564-7395564	0.016820802
chr19:44687025-44689025	0.016820802
chr17:8118478-8120478	0.017184581
chr2:144700794-144702794	0.017265168
chr9:127898167-127900167	0.017265168
chr19:18160373-18162373	0.017665411
chr6:26304273-26306273	0.017665411
chr6:170048167-170050167	0.01771422
chr20:62501034-62503034	0.018063755
chr4:184313289-184315289	0.018569529
chr9:115007750-115009750	0.018637882
chr9:41357844-41359844	0.018637882
chr11:35087234-35089234	0.018696154
chr6:170046109-170048109	0.018739086
chr9:87839550-87841550	0.018739086
chr6:137810780-137812780	0.018944303
chr2:69306228-69308228	0.019050321
chr11:128883813-128885813	0.020963406
chr5:139634907-139636907	0.02251933
chr2:100751542-100753542	0.023356417
chr1:211596617-211598617	0.02346413
chr9:68974438-68976438	0.02346413
chr1:110639212-110641212	0.024157792
chr4:158913460-158915460	0.024219875
chr19:54265326-54267326	0.02477257
chr6:6799434-6801434	0.02477257
chr6:6787581-6789581	0.027714807
chr22:39002302-39004302	0.028110549
chr11:5631082-5633082	0.028423511
chr18:50841997-50843997	0.028658103
chr17:75296586-75298586	0.029400295
chr12:122973951-122975951	0.029460319
chr2:55281272-55283272	0.029460319
chr1:159820272-159822272	0.029518199
chr7:36735750-36737750	0.029518199
chr18:50835679-50837679	0.029624641
chr6:26553103-26555103	0.03020028
chr4:153713021-153715021	0.031134685
chr19:54373726-54375726	0.031805256
chr3:122298406-122300406	0.03248709
chr16:8654294-8656294	0.033395445
chr2:142865238-142867238	0.035584501
chr9:127896446-127898446	0.035958585
chr10:44945416-44947416	0.036025095
chr17:42963631-42965631	0.036030242
chr1:235907986-235909986	0.036303104
chr8:58396329-58398329	0.036303104
chr19:44684755-44686755	0.036726017
chr6:18476728-18478728	0.036726017
chr9:111952390-111954390	0.036977067
chr9:66269248-66271248	0.037796118
chr3:45075534-45077534	0.037920229
chr1:160781224-160783224	0.040523066
chr10:72295217-72297217	0.040700993
chr3:153288557-153290557	0.041535589
chr9:104992637-104994637	0.041579635
chr10:3810489-3812489	0.04217168
chr17:47315136-47317136	0.042422082
chr11:35082330-35084330	0.042686262
chr3:188904966-188906966	0.042686262
chr5:157252210-157254210	0.042686262
chr3:49237815-49239815	0.042918486
chr9:114957480-114959480	0.04357263
chr1:192608391-192610391	0.04365211
chr7:66805-68805	0.043705841
chr1:26676627-26678627	0.043818031
chr7:155343951-155345951	0.043818031
chr21:33363288-33365288	0.044473637
chr9:751131-753131	0.045643096
chr4:88629827-88631827	0.046025171
chr1:244303374-244305374	0.046347932
chr3:156534585-156536585	0.046347932
chr20:50483237-50485237	0.047159548
chr4:38785068-38787068	0.047555007
chr1:65001130-65003130	0.048237393
chr1:244322174-244324174	0.048664524
chr11:65476412-65478412	0.048841263
chr6:26571373-26573373	0.048841263
chr6:30502627-30504627	0.049026361
chr5:136011232-136013232	0.049192534
chr6:163651419-163653419	0.049309807
chr6:159838012-159840012	0.050361123
chr2:151296998-151298998	0.050644318
chr12:92551072-92553072	0.050676664
chr12:92558139-92560139	0.050770982
chr8:103077426-103079426	0.05082993
chr3:156721314-156723314	0.053575694
chr16:3151539-3153539	0.053825053
chr3:5496714-5498714	0.054072715
chr3:156825291-156827291	0.054261416
chr13:94548495-94550495	0.054427234
chr15:58517088-58519088	0.055071472
chr11:75213529-75215529	0.055700658
chr6:163404929-163406929	0.055799245
chr2:74184883-74186883	0.055843852
chr14:75257731-75259731	0.056497373
chr17:68212649-68214649	0.056560683
chr6:27686789-27688789	0.057310719
chr9:92705702-92707702	0.057310719
chr9:115006010-115008010	0.057441034
chr1:110721883-110723883	0.059279217
chr6:27791142-27793142	0.059279217
chr2:227459396-227461396	0.059673879
chr17:75294573-75296573	0.05967695
chr22:30272471-30274471	0.05967695
chr6:166258298-166260298	0.060113794
chr6:27751966-27753966	0.060431722
chr1:120414306-120416306	0.060548366
chr6:30508251-30510251	0.062222266
chr12:7554964-7556964	0.063995975
chr1:211605982-211607982	0.06427599
chr3:106018335-106020335	0.066346085
chr3:106119135-106121135	0.06653941
chr17:39152868-39154868	0.066587281
chr1:212490658-212492658	0.067741461
chr12:10406137-10408137	0.067741461
chr10:31750449-31752449	0.069167835
chr7:115910403-115912403	0.070347624
chr9:68951396-68953396	0.070347624
chr15:70269555-70271555	0.07054574
chr3:132641416-132643416	0.071508339
chr14:69718706-69720706	0.071771985
chr9:6680322-6682322	0.072216773
chr17:68236855-68238855	0.072883676
chr3:46075804-46077804	0.072927005
chr17:73142224-73144224	0.074584451
chr4:73717815-73719815	0.074616293
chr14:55107229-55109229	0.075599885
chr4:88622204-88624204	0.075599885
chr17:31548907-31550907	0.078156633
chr6:30527179-30529179	0.078797391
chr1:115827996-115829996	0.078998902
chr10:69064794-69066794	0.079306571
chr5:43007632-43009632	0.080487095
chr11:47610756-47612756	0.085245785
chr9:104990533-104992533	0.087632709
chr2:119282359-119284359	0.087813111
chr4:88591568-88593568	0.087813111
chr3:156815860-156817860	0.088969195
chr5:130034021-130036021	0.089022159
chr6:30500050-30502050	0.091841077
chr11:86140903-86142903	0.092339731
chr5:151555919-151557919	0.092339731
chr11:59549789-59551789	0.094554629
chr11:85947377-85949377	0.096617687
chr10:72296752-72298752	0.098138843
chr22:22297210-22299210	0.101446085
chr3:49427821-49429821	0.102785989
chr8:54242200-54244200	0.103356569
chr8:11887264-11889264	0.104333885
chr17:76004817-76006817	0.104605825
chr2:137920980-137922980	0.106212791
chr12:49622470-49624470	0.111032026
chr19:54611552-54613552	0.111032026
chr4:52855882-52857882	0.111032026
chr1:110643040-110645040	0.111036403
chr2:113369701-113371701	0.111758307
chr2:144659499-144661499	0.112016383
chr9:105063382-105065382	0.113537289
chr1:13645573-13647573	0.116857187
chr8:54170901-54172901	0.118973954
chr10:6362804-6364804	0.119635026
chr17:62965124-62967124	0.121648147
chr19:13850358-13852358	0.121662144
chr19:13171738-13173738	0.1230883
chr3:56692600-56694600	0.123831082
chr15:72284939-72286939	0.124214621
chr1:146036575-146038575	0.124987083
chr19:15348179-15350179	0.12527311
chr8:131813597-131815597	0.125570205
chr2:231179125-231181125	0.126451472
chr5:65034820-65036820	0.128683701
chr14:20612410-20614410	0.129659831
chr1:155569547-155571547	0.130848546
chr16:57299105-57301105	0.130848546
chr6:26531808-26533808	0.130848546
chr6:6747724-6749724	0.130848546
chr19:51218574-51220574	0.131669157
chr4:73708671-73710671	0.131669157
chr5:109423962-109425962	0.134414189
chr7:20473460-20475460	0.134789069
chr17:76514572-76516572	0.142434583
chr6:159092538-159094538	0.142831046
chr6:30528701-30530701	0.145042584
chr10:67763394-67765394	0.145228056
chr4:73723138-73725138	0.145228056
chr6:44065009-44067009	0.145464575
chr3:153246186-153248186	0.145677818
chr1:116503392-116505392	0.145866428
chr12:92569954-92571954	0.146205198
chr12:92597179-92599179	0.147008115
chr3:46097291-46099291	0.1483141
chr6:30112314-30114314	0.1483141
chr2:234334920-234336920	0.148319268
chr9:128828832-128830832	0.154527562
chr12:6322643-6324643	0.157619844
chr10:3876374-3878374	0.15786119
chr8:11890556-11892556	0.15786119
chr4:74055858-74057858	0.159048927
chr2:151337046-151339046	0.159106686
chr14:74458690-74460690	0.161022027
chr16:56599688-56601688	0.161022027
chr18:59881421-59883421	0.161022027
chr21:39093777-39095777	0.161022027
chr4:73703910-73705910	0.161907583
chr17:76465298-76467298	0.165650359
chr1:234974383-234976383	0.170854858
chrX:30642619-30644619	0.171189539
chr14:34650228-34652228	0.175873943
chr17:64419467-64421467	0.179106697
chr4:176340157-176342157	0.182676913
chr1:160989535-160991535	0.183597708
chr8:54211492-54213492	0.183653685
chr10:4119963-4121963	0.187655037
chr11:59246906-59248906	0.187972799
chr6:163660405-163662405	0.189721098
chr17:64441520-64443520	0.190381215
chr1:232619888-232621888	0.190806093
chr10:62267579-62269579	0.191207587
chr7:155205230-155207230	0.191207587
chr3:113577199-113579199	0.19134663
chr2:238097979-238099979	0.196025418
chr6:30090814-30092814	0.197644374
chr6:30129871-30131871	0.197644374
chr3:49420519-49422519	0.198810487
chr6:111290321-111292321	0.198810487
chr14:20631472-20633472	0.199552869
chr4:73726883-73728883	0.199552869
chr7:42911045-42913045	0.199552869
chr17:64417906-64419906	0.2009475
chr2:112879819-112881819	0.203082691
chr2:70141507-70143507	0.204273029
chr2:84963390-84965390	0.206406392
chr10:22436342-22438342	0.215345192
chr21:33373432-33375432	0.215345192
chr1:116507961-116509961	0.218027037
chr3:113613608-113615608	0.218027037
chr9:84367608-84369608	0.219704639
chr10:47552359-47554359	0.222750753
chr3:106003382-106005382	0.223121754
chr3:45203846-45205846	0.22317522
chr15:55497287-55499287	0.225778169
chr14:61101159-61103159	0.225851753
chr10:71860121-71862121	0.227997644
chr11:62559750-62561750	0.227997644
chr6:29796321-29798321	0.227997644
chr9:91192678-91194678	0.227997644
chr1:232599250-232601250	0.229942681
chr19:54345337-54347337	0.230372213
chrX:30532523-30534523	0.230486889
chr1:206738751-206740751	0.235658133
chr8:54165047-54167047	0.241249582
chr9:117743850-117745850	0.242294021
chr8:70539913-70541913	0.244553843
chr1:26619928-26621928	0.245981581
chr17:64430202-64432202	0.246864673
chr10:62264095-62266095	0.247746859
chr8:54169202-54171202	0.248202406
chr4:73734094-73736094	0.249497221
chr14:34648596-34650596	0.25170858
chr16:11640013-11642013	0.257946717
chr3:126982033-126984033	0.259807129
chr9:84364078-84366078	0.264031494
chr6:44063648-44065648	0.26598948
chr21:33393121-33395121	0.268829026
chr3:134600011-134602011	0.269111418
chr20:37269582-37271582	0.269874823
chr15:70233729-70235729	0.275604517
chr3:106013304-106015304	0.277708505
chr16:31396407-31398407	0.278514113
chr8:134831195-134833195	0.279970108
chr12:88388034-88390034	0.283995425
chr3:5578686-5580686	0.283995425
chr6:15065935-15067935	0.283995425
chr20:20007743-20009743	0.284840583
chr13:30673109-30675109	0.285017743
chr4:73728737-73730737	0.285017743
chr2:144606388-144608388	0.28603914
chr16:22605947-22607947	0.287476517
chr6:14711259-14713259	0.287476517
chr16:31394851-31396851	0.288982886
chr17:45591529-45593529	0.292994635
chr2:241862716-241864716	0.299889519
chr14:34645317-34647317	0.302674561
chr10:72327524-72329524	0.305282265
chr1:110523834-110525834	0.306060091
chr1:110645126-110647126	0.306060091
chr6:105965681-105967681	0.307102072
chr18:59884995-59886995	0.307421263
chr14:20623735-20625735	0.309950431
chr17:75999602-76001602	0.310100725
chr17:46259365-46261365	0.311936874
chr12:92503208-92505208	0.314555428
chr8:103392788-103394788	0.314597388
chr15:70307614-70309614	0.315666126
chr2:216394114-216396114	0.315666126
chr16:9126881-9128881	0.316312968
chr4:73731232-73733232	0.317125346
chr7:97927362-97929362	0.31853479
chr12:124938848-124940848	0.328285427
chr10:3804134-3806134	0.332847446
chr11:65813661-65815661	0.332847446
chr4:151116322-151118322	0.334671306
chr21:8232591-8234591	0.336193826
chr3:171564298-171566298	0.336550965
chr4:81420632-81422632	0.338501477
chr2:9800676-9802676	0.339640797
chr21:8459760-8461760	0.340736177
chr9:84356671-84358671	0.342812695
chr15:70280899-70282899	0.350391345
chr3:194577187-194579187	0.353856416
chr20:53828336-53830336	0.358882299
chr1:109820947-109822947	0.360275077
chr14:105069489-105071489	0.360275077
chr17:75311369-75313369	0.360275077
chr3:46088995-46090995	0.360275077
chr6:14734152-14736152	0.360275077
chr7:102571656-102573656	0.360275077
chr1:232624049-232626049	0.36114393
chr15:70339229-70341229	0.361823144
chr2:144692219-144694219	0.361823144
chr8:55843675-55845675	0.361823144
chr10:133012393-133014393	0.364940729
chr8:8921203-8923203	0.365011844
chr19:48949271-48951271	0.365201616
chr1:110522123-110524123	0.37246078
chr22:30270083-30272083	0.388399061
chr9:22029317-22031317	0.395549274
chr5:130031969-130033969	0.395689065
chr7:20541222-20543222	0.395689065
chr1:110646799-110648799	0.395909789
chr2:98739657-98741657	0.39605168
chr14:52307084-52309084	0.398919517
chr17:78646242-78648242	0.399229689
chr8:29582936-29584936	0.399382075
chr4:184345630-184347630	0.401448766
chr6:31821044-31823044	0.406311277
chr16:56590881-56592881	0.408878664
chr4:48035821-48037821	0.411386311
chr20:37275987-37277987	0.41224937
chr2:85498208-85500208	0.412878205
chr7:47668795-47670795	0.414191196
chr17:43367753-43369753	0.414469171
chr10:22245850-22247850	0.415329347
chr6:29847372-29849372	0.4169424
chr6:29849355-29851355	0.4169424
chr9:36730698-36732698	0.417938018
chr12:92593040-92595040	0.419594427
chr16:53509566-53511566	0.4206697
chr17:31564037-31566037	0.4206697
chr19:4562711-4564711	0.42154544
chr6:14143557-14145557	0.429033271
chr13:44917326-44919326	0.429301148
chr12:7965787-7967787	0.430487459
chr19:19169384-19171384	0.430487459
chrX:52852171-52854171	0.430487459
chr1:234840676-234842676	0.432439625
chr17:34218127-34220127	0.435498036
chr17:29211775-29213775	0.436018541
chr15:31440112-31442112	0.436612287
chr3:187772962-187774962	0.436612287
chr17:47789088-47791088	0.441592946
chr12:69340451-69342451	0.451798257
chr3:105997198-105999198	0.452598659
chr22:42374965-42376965	0.453334808
chr14:92506413-92508413	0.45835114
chr4:73707096-73709096	0.461844839
chr17:7522250-7524250	0.464772772
chr2:142819708-142821708	0.482483161
chr20:36968263-36970263	0.484109835
chr9:21323143-21325143	0.49181901
chr6:14727091-14729091	0.49254387
chr8:133918442-133920442	0.49254387
chr17:34234921-34236921	0.493928927
chr7:150780001-150782001	0.494280973
chr20:1882480-1884480	0.496307996
chr20:1944594-1946594	0.5185369
chr1:110554663-110556663	0.521899711
chr3:194574509-194576509	0.525570569
chr14:95495500-95497500	0.527160631
chr10:3835193-3837193	0.530797156
chr19:44741355-44743355	0.54024527
chr3:153143972-153145972	0.541368492
chr20:37274272-37276272	0.542451584
chr3:153137585-153139585	0.543644093
chr14:95482348-95484348	0.543928891
chr9:35050511-35052511	0.546103977
chr3:194569446-194571446	0.551501522
chr11:115706295-115708295	0.557295302
chr12:69329961-69331961	0.566803695
chr15:72319022-72321022	0.566803695
chr4:73763722-73765722	0.566803695
chr6:163585083-163587083	0.566803695
chr9:72280184-72282184	0.566803695
chr21:33214980-33216980	0.569821761
chr7:151922554-151924554	0.577236275
chr6:29813254-29815254	0.578343269
chr11:65026535-65028535	0.580240743
chr15:70347976-70349976	0.58541086
chr7:151925030-151927030	0.585737518
chr14:34722240-34724240	0.602453808
chr17:75996154-75998154	0.602453808
chr6:32678817-32680817	0.602453808
chr1:54651412-54653412	0.603832608
chr19:42400964-42402964	0.618957729
chr6:134631446-134633446	0.618957729
chr8:30666016-30668016	0.618957729
chr12:69324152-69326152	0.624629492
chr21:33203143-33205143	0.626108085
chr4:73725101-73727101	0.626108085
chr16:31349413-31351413	0.626509012
chr11:65486842-65488842	0.633808851
chr4:73775344-73777344	0.633808851
chr9:114655007-114657007	0.633808851
chr1:31101613-31103613	0.634156026
chr19:13846208-13848208	0.63489655
chr3:46111462-46113462	0.638313133
chr12:69290045-69292045	0.651885682
chr3:52298955-52300955	0.65857013
chr6:3162103-3164103	0.659037657
chr11:65817292-65819292	0.660140974
chr3:160125025-160127025	0.660771121
chr17:34222003-34224003	0.664147763
chr2:144670414-144672414	0.664147763
chr3:153150080-153152080	0.666201226
chr19:11418214-11420214	0.668058068
chr21:33201784-33203784	0.689241574
chr13:49641589-49643589	0.691479398
chr3:12232244-12234244	0.691479398
chr5:181206126-181208126	0.691479398
chr8:11885300-11887300	0.702022227
chr12:55846962-55848962	0.70469211
chr5:42950064-42952064	0.71750101
chr10:71888631-71890631	0.727178312
chr10:62258237-62260237	0.729954337
chr8:23760861-23762861	0.731781362
chr4:73761689-73763689	0.732971102
chr7:24762471-24764471	0.732971102
chr1:248872651-248874651	0.738101362
chr17:43314821-43316821	0.738101362
chr3:153209444-153211444	0.738287166
chr21:33198992-33200992	0.742247612
chr17:78441878-78443878	0.752554907
chr2:231181195-231183195	0.754486825
chr1:234842123-234844123	0.755114456
chr1:44818968-44820968	0.775114623
chr14:95506618-95508618	0.775114623
chr17:46234844-46236844	0.778552056
chr12:7970303-7972303	0.778905465
chr6:29964679-29966679	0.778905465
chrX:39761451-39763451	0.779804679
chrX:39771567-39773567	0.780104873
chr4:138391819-138393819	0.781746122
chr4:138405237-138407237	0.781746122
chr2:37634972-37636972	0.791419439
chrX:39754931-39756931	0.791419439
chrX:39773679-39775679	0.791419439
chr9:114652476-114654476	0.795518831
chr10:69047476-69049476	0.803872098
chr13:113273162-113275162	0.803872098
chr3:12147260-12149260	0.803872098
chr3:15360372-15362372	0.803872098
chr1:32997084-32999084	0.804227252
chr14:22852399-22854399	0.807061348
chr16:31343977-31345977	0.807061348
chr8:54190950-54192950	0.810462785
chr2:12168728-12170728	0.812938978
chr6:29908889-29910889	0.816386448
chr1:201599302-201601302	0.817570329
