chr	start	end
chr5	34750566	34752704
chr12	48214779	48220890
chr2	99374669	99378472
chr7	158790155	158792364
chr2	74214341	74215340
chr18	29089276	29092243
chr11	69261075	69264274
chr6	166249854	166252405
chr5	10138415	10139187
chr6	44591540	44595041
chr17	37074511	37075080
chr2	113941371	113944849
chr2	172242136	172249584
chr5	179807210	179808635
chr18	11747116	11748993
chr2	61224364	61229454
chr3	45117216	45120649
chr1	34041712	34045822
chr1	61448959	61456153
chr3	138607955	138611006
chr11	455165	455478
chr1	28204431	28206856
chr19	1135427	1136134
chr10	43705470	43708099
chr22	41933209	41935312
chr19	41227432	41228629
chr11	125061324	125062349
chr3	15315000	15317962
chr14	55818033	55819845
chr3	49422491	49425521
chr15	80269581	80272211
chr22	46977207	46979580
chr9	73895173	73900791
chr11	125196707	125201806
chr18	77222166	77224237
chr8	136143672	136148052
chr2	236406462	236406823
chr9	137596139	137597322
chr2	2660603	2666336
chr14	98103758	98107032
chr2	109217345	109225049
chr3	65670612	65679491
chr21	33080671	33091187
chr3	65485090	65488086
chr11	102175678	102180765
chr13	52467058	52470761
chr11	44286760	44291071
chr8	48295008	48296215
chr5	177953930	177955580
chr16	27196721	27202937
chr11	10496752	10502854
chr4	114327190	114331277
chr10	3612578	3613779
chr10	129879084	129887924
chr4	40897164	40900083
chr18	10250396	10256598
chr20	55673185	55676823
chr16	88257432	88258040
chr13	31329569	31331141
chr8	143878596	143879037
chr20	62515075	62516124
chr14	105099362	105100042
chr19	45896150	45898252
chr17	71968407	71970056
chr5	131321576	131324616
chr10	126911328	126912008
chr15	65617105	65618980
chr11	10662293	10665485
chr22	39802839	39804526
chr8	97602774	97606823
chr5	5767277	5770840
chr22	25520808	25524934
chr9	140303434	140305588
chr16	86504726	86506320
chr11	67926133	67928843
chr10	98156016	98159477
chr6	128844943	128851516
chr19	7606148	7606627
chr19	3405878	3406992
chr19	6773301	6776008
chr12	834354	838015
chr22	19081916	19085944
chr3	196050741	196052039
chr3	122813961	122816084
chr20	10860617	10866889
chr14	100888966	100891868
chr6	132014720	132018174
chr17	6572098	6573106
chr6	166806894	166808423
chr16	10783857	10786337
