gene	pval
IGFBP7	0.000183001
MACROD1	0.000183001
MBD2	0.000193239
L1TD1	0.000196993
PHF15	0.000196993
PDCD5	0.000197428
FOXO3	0.000199129
GOLGB1	0.000199129
FRZB	0.000201317
GPC4	0.000202186
CPSF1	0.000202401
RALGDS	0.000206617
TRIM38	0.000206617
CGA	0.000207674
SPECC1L	0.000207674
SPTLC2	0.00020936
KIF2A	0.00021266
TCF7L2	0.000214999
TACSTD1	0.000215757
APOA2	0.000216146
S100P	0.000218081
UBE2K	0.000220021
ARHGDIA	0.000230824
ING2	0.000233272
CRH	0.000241524
RXRB	0.00024249
SCMH1	0.000244306
STAT3	0.000248168
IDH2	0.000248337
COBL	0.000248421
CLU	0.000255585
HAND1	0.000257153
PRC1	0.000257494
MAPK12	0.000258206
PTOV1	0.000263096
SERPINC1	0.000263831
FAM98A	0.000266488
AGPAT5	0.000268712
NUDT11	0.000283539
PCBP4	0.000286396
LAMP2	0.000287288
SLC30A1	0.000291208
TGFB2	0.000293394
MRC1	0.000294436
ZC3HAV1	0.000301229
PAX3	0.000301256
MT1F	0.000306483
OAT	0.00030827
SEMA3F	0.000309323
MYOZ2	0.00031155
PCYOX1	0.00031155
FAM70A	0.000313251
ATP7B	0.000315394
SEC24A	0.000323829
LITAF	0.000324155
GPSM2	0.00032541
THBS1	0.000328696
KIAA0802	0.000333747
ARF6	0.000333968
PTX3	0.000333968
POLR3G	0.000347132
MYC	0.000348338
TPD52	0.000349371
ROR1	0.000351175
C19orf56	0.000363572
MYLK3	0.000365406
NPY1R	0.000367977
DOK5	0.000370281
LOC284244	0.000370281
NR3C1	0.000370281
PAPSS2	0.000370281
RRAGD	0.000370281
SLC36A1	0.000370281
VASH1	0.000371317
SYT11	0.000371935
TFAP2C	0.000372199
LIFR	0.000380151
NNAT	0.000380151
LIN28	0.000381109
APOC1	0.000391189
BAT2	0.000391189
CTBP2	0.000391189
CTNNBIP1	0.000396723
PHACTR2	0.000396857
MAP7D1	0.00039916
NFE2L3	0.000412292
AP3M2	0.000414977
RARA	0.000423254
SLC30A5	0.000426768
SPRY1	0.000426768
PTPRD	0.000435107
BCL7A	0.000451942
LEP	0.000461197
LRIG2	0.00047277
LHX2	0.000472938
PDIA5	0.000488531
DBC1	0.000490265
SMARCD1	0.000491667
MDK	0.000491909
CUEDC2	0.000495147
KCNJ16	0.000497171
EPHB4	0.000497646
MCM7	0.000497646
PSTPIP2	0.000501046
SLC1A3	0.000501046
MAP3K9	0.000522859
CDH10	0.00052406
NMU	0.000529775
FGF18	0.000537993
CDYL	0.000542932
PAX8	0.000542932
CAMK2N1	0.00054395
KCMF1	0.000548206
RBPMS	0.000551414
NUDT3	0.000552695
VTCN1	0.000552695
NRP2	0.000557512
GATA3	0.000563933
PLEKHO1	0.000565268
PTP4A2	0.000568456
EIF2AK3	0.000570212
LGALS3	0.000570212
SMARCD3	0.00059069
DVL2	0.0006011
FUT8	0.00060147
ZFHX3	0.000603595
RPRM	0.000607058
SMYD2	0.000610433
MYBPC3	0.000616563
PITX2	0.000616563
STOM	0.000616563
DACH1	0.000623275
FASN	0.000623275
FN1	0.000623275
WDR18	0.000623404
GPR162	0.000624489
YWHAE	0.000624489
SMARCB1	0.000628005
SLC9A3R1	0.000628143
ALDH6A1	0.000629298
ATP6V1D	0.000630467
BCL11A	0.000630467
COBLL1	0.000630467
HAVCR1	0.00063142
PHYH	0.00063142
H2AFX	0.000633761
APOM	0.000640306
CNIH3	0.000641086
PCDH7	0.000652291
CXCL14	0.00066239
MAP1B	0.000673147
B4GALT4	0.000674527
NLGN4X	0.000675348
SLC11A2	0.000683927
RABGAP1L	0.0006854
BRWD2	0.000685907
PDE10A	0.000689844
H2AFY	0.000701422
SOX17	0.000703752
ZNF468	0.000705442
CSNK2A1	0.000710599
TTC3	0.000715714
P2RY5	0.000716095
SEMA6A	0.000716095
SDC2	0.000716294
APLP1	0.000716442
CCNL2	0.000723756
TAC1	0.000723756
CSH1	0.000735592
TUFM	0.000736021
VEGFC	0.000739395
FLJ35348	0.000747515
PSG3	0.000747894
SHANK2	0.000750168
CDH2	0.000787953
DDC	0.000788215
OCLN	0.000794256
AGRN	0.000802112
ZNF91	0.000806109
MGST2	0.000818156
IFITM2	0.000823538
GABBR2	0.000833909
ELF4	0.000840272
HDGF	0.000850851
BZW2	0.000852917
ZIC1	0.000854388
MAP1S	0.000876018
TMEM106C	0.000877124
CDH6	0.00087758
RTN4	0.000878157
RAB15	0.000906614
LIPC	0.000913089
TBCD	0.000922364
AZIN1	0.000929321
NEDD9	0.000941429
FGFR1	0.000947854
NUP37	0.000970604
COQ10B	0.000973107
LDB2	0.000979122
HPX	0.000993658
POLR2J	0.001002412
CAPN9	0.001023657
WASF3	0.001060459
CNTNAP2	0.001060676
PLXNB2	0.00107198
DKFZP761N09121	0.001086857
DSC3	0.001106439
SVIL	0.001106439
ZMYND8	0.001115843
DAPK1	0.001121577
BCL2	0.001128828
TMEM97	0.001128828
FAM89B	0.001140795
RBM10	0.001144167
PTENP1	0.001146207
SLC2A4RG	0.001171135
SERPINA7	0.001171549
TLE4	0.001171549
PDLIM4	0.001176351
STX3	0.001176351
NUDT21	0.001184607
MEF2C	0.001190346
TP63	0.001208869
AGTRL1	0.001244566
CREBL2	0.001252902
SLC25A5	0.001253788
SOX12	0.001260382
KIAA0100	0.001263349
ANXA2P2	0.001272642
GMFB	0.001273178
SMN1	0.001281642
FAM3C	0.001283792
ATMIN	0.001286542
SNURF	0.001288828
C14orf147	0.001290664
C4orf31	0.001290664
GULP1	0.001290664
LOC57228	0.001297867
DDX11	0.001310836
LPHN3	0.001312822
HNRPUL1	0.001317469
NFAT5	0.001327211
ENPP1	0.00134109
BTBD2	0.001347155
KIAA1279	0.001366407
PARC	0.001385761
AP1M2	0.001395302
PSME2	0.001406346
KIAA0746	0.001409889
POSTN	0.001415267
SPARC	0.001421242
LPGAT1	0.001434359
AKT1	0.001435198
SLC7A5	0.001472724
GGA2	0.001493021
SWAP70	0.00150777
C2orf25	0.001509547
ZNF134	0.001509547
LMOD1	0.001521279
HDAC6	0.00156233
GRB14	0.001563195
WIPI1	0.001575758
SF3A1	0.001577831
VPS4B	0.001577831
BUB1	0.001587796
CTSL1	0.001588985
BAT3	0.001597706
MTSS1	0.001604516
QPRT	0.001612201
PERP	0.001638058
LOC130074	0.001651588
SEPHS1	0.001682163
F11R	0.001724304
GDF15	0.001724304
SERPINA1	0.001765579
MAST2	0.001772047
CTSC	0.001776347
PLXNB1	0.001776347
STK17A	0.001776347
TRIM36	0.001777927
ATP5D	0.001785466
SERPINI1	0.00178907
AKAP12	0.00180624
PGF	0.001817511
PRODH	0.001843551
USO1	0.001876778
HMGA2	0.001892392
SEC24D	0.001901902
SLC8A1	0.00193493
KCTD12	0.001977479
G0S2	0.001995547
NME4	0.001996578
SLC39A6	0.001996578
EN1	0.002011253
FOXH1	0.002019306
LARP4	0.00202056
ERBB2	0.002051972
GUCA1A	0.002056951
SPRY2	0.002056951
SNRP70	0.002060162
EPHB3	0.002073067
SCD	0.002073067
TBX1	0.00207668
MATN2	0.002077764
COL6A3	0.002101536
HSPG2	0.002112677
ELMO1	0.002149413
ACAA2	0.002180853
FKBP1A	0.002193809
OSBPL11	0.002194284
MGC39900	0.002205771
SFRS16	0.002205771
LRP3	0.002207354
SCUBE2	0.002207354
EPHA1	0.002212958
WDR6	0.002216211
KRT7	0.002225739
CCDC92	0.002229642
FUBP3	0.002229642
RGS5	0.002229642
MCM2	0.002245581
PBK	0.002245581
SAT1	0.002269093
TOM1L1	0.002269093
OLFML2A	0.002296888
GJB1	0.002312147
TBC1D25	0.002312147
C14orf143	0.002339356
EFNB2	0.002342488
NP	0.002368496
NQO1	0.002368496
PIP5K1B	0.002368496
NAB1	0.002371603
OPRS1	0.002371603
RARRES2	0.002427657
SEZ6L2	0.002437873
ABI1	0.002439603
ATP5G1	0.002439603
DPPA4	0.002439603
PFTK1	0.002439603
HOXA2	0.002444882
GBF1	0.002459362
PHC1	0.002486736
ZNF165	0.002495346
NF1	0.002521844
ANXA1	0.002522826
PRKCI	0.00254276
SLC25A17	0.002553542
HINT1	0.00259367
KHSRP	0.00259367
FERMT2	0.00263212
MFSD10	0.00263212
BACH2	0.002653095
SACM1L	0.002659956
SLC35D1	0.002659956
NBPF1	0.002694906
SERPINB9	0.002700497
ZFP64	0.002702093
CNP	0.002710353
KIAA0494	0.002715098
SOX9	0.002801301
CA12	0.002811043
RAB8B	0.002811043
SERBP1	0.002811043
CD36	0.002830257
SOX11	0.002846675
CST4	0.002862266
FLJ22795	0.002870919
CA2	0.002910343
PPFIBP2	0.002910343
TCF3	0.002910343
TSC2	0.002910343
UBTF	0.002910343
ARL6IP4	0.002930959
LCK	0.002934827
MTF2	0.002935815
F2	0.002940546
RAPGEF2	0.002949727
FZR1	0.002960467
GPHN	0.002983275
GNG12	0.002984422
QTRT1	0.002989021
CDC37L1	0.003002831
CS	0.003005147
C3orf52	0.00303182
MRS2	0.00303182
SOAT2	0.003042809
DIXDC1	0.003044365
HEXIM1	0.003044365
GPM6B	0.003086559
LANCL2	0.003101164
NFATC2IP	0.003101164
PIM2	0.003101164
C6orf211	0.00310302
CIDEB	0.003112699
BMP7	0.00311479
PATZ1	0.00311479
BRD2	0.00312936
FOXA2	0.003143921
CYP26B1	0.003155737
SENP3	0.003172742
SCML1	0.003184563
LUM	0.00319406
GPC3	0.00325673
TXNDC1	0.00325673
MCM4	0.003341977
PRR5	0.003351942
TMEM30A	0.003368791
RAI16	0.003400115
NPTX2	0.003443851
TPST2	0.003447887
SPINT1	0.00345682
ORC5L	0.003497074
CSDE1	0.003500269
FNBP1L	0.003500269
ZMYM6	0.003519529
CLDN6	0.003576106
GARNL4	0.003576106
CREBZF	0.003576311
DKK1	0.003576311
MAOB	0.003581124
PLK3	0.003585997
CDX1	0.003633981
ZNF217	0.003653919
HOXA10	0.003687469
G3BP2	0.003697507
KCNN2	0.003710757
BCAT2	0.003719994
TACSTD2	0.003719994
STX10	0.003737663
MAP3K6	0.003742699
KLHL7	0.003776962
M-RIP	0.003826263
TWIST1	0.003826263
CALB1	0.003838127
C1orf108	0.003840066
MYLIP	0.003848937
BRE	0.003874006
PAFAH1B3	0.003874514
PTPRG	0.003874514
TIE1	0.003874514
CNTFR	0.003893849
LBH	0.003893849
NRBF2	0.003893849
FBXL7	0.003906139
PFKL	0.003912098
HRB	0.003914893
THAP4	0.00392743
IMPDH2	0.003937192
SOX3	0.003945578
TPD52L1	0.003992234
SRCAP	0.004043081
CDC14B	0.004054672
LOC552891	0.004054672
UBE2G1	0.004074148
SNAP23	0.004087595
R3HCC1	0.004102886
RSL1D1	0.004168898
DSCR3	0.004169138
SLK	0.004171019
EMILIN1	0.004177614
SPAG9	0.004288177
NBPF14	0.004297953
CCDC93	0.004311227
HSPA4	0.004311227
tcag7.1314	0.004317932
EPS15	0.004372206
HGS	0.004372206
KCNG1	0.004399312
LGALS8	0.004422067
C1GALT1C1	0.004432632
UBE2D1	0.004459462
ATP6V0E1	0.004493401
CACNB2	0.004540414
E2F1	0.004544928
CNPY2	0.004589333
B3GNT2	0.004640093
C7orf26	0.004640093
CNN1	0.004654652
LY6G6D	0.004661511
MXRA5	0.004663129
CBFB	0.004683872
FGFR4	0.004683872
SIDT2	0.004691498
FZD7	0.00471554
TNRC4	0.004740346
GPR64	0.004754167
TRIM14	0.004754167
ALB	0.004894552
DNM1	0.004939156
TAGLN3	0.004945267
ALDH1A2	0.00500825
A2M	0.005034893
PPP2R1B	0.005041018
PARD3	0.00505083
MAPKAPK3	0.005064078
EGFL7	0.005097044
AP2B1	0.005173974
MPDZ	0.005192929
LGALS3BP	0.00524169
ZBTB17	0.00524169
RAB11B	0.005249933
XBP1	0.005291616
LAPTM4B	0.005295395
AQP1	0.005313566
NDUFV1	0.005313566
C20orf27	0.005361027
DCTN3	0.005368041
ATP6V1C1	0.005378647
KIF15	0.005378647
ARNT2	0.005432241
RAP1A	0.005440325
CSNK1E	0.005442532
ELOVL2	0.005442933
UTP3	0.005487063
DLG2	0.005547037
TGIF1	0.00558686
BRD9	0.005615658
C17orf68	0.005628534
PES1	0.005637716
H1F0	0.005653264
GYPC	0.005673958
FUT1	0.005685917
ERC1	0.00568942
SDAD1	0.005728262
ORAI3	0.005760727
GLG1	0.005823058
CUGBP2	0.005823204
MARCKSL1	0.005836823
IPW	0.005837417
C14orf115	0.005893387
SEMA4F	0.005893387
SLIT3	0.005893387
NID1	0.005912107
CD164	0.005936226
NUMA1	0.005995122
STS	0.006033169
LECT1	0.006051049
EEF1D	0.006059384
MLYCD	0.006136275
TCF15	0.006157127
IQWD1	0.006203341
ST6GALNAC4	0.006203341
RAP2C	0.006206413
ZNF282	0.006211864
THY1	0.006250297
ATP2B4	0.00626087
DDX42	0.006351798
FOXC1	0.006370231
AKT3	0.006399753
CIAO1	0.006432158
PRDX1	0.006438568
STXBP3	0.006444262
CGB	0.00647491
TMEM66	0.00647491
XPA	0.006495805
HSPB1	0.006553968
METTL5	0.006589583
SDHA	0.006605889
SHROOM2	0.006633835
DVL3	0.006643454
C19orf61	0.00671062
SALL2	0.006781401
C1orf159	0.006797484
RNASE4	0.006798665
DGKD	0.006808633
MT1G	0.006839266
HOXA6	0.006887535
TMED2	0.006895647
GSTA4	0.006932256
HIST1H2BH	0.006932256
STC2	0.006938326
EEF1A2	0.006955831
MOSPD1	0.006957405
HOXC10	0.007024536
DNAJC9	0.007087677
CRIP2	0.007120064
TNC	0.007120064
MMP15	0.00712149
ANXA8L2	0.007160069
SLC31A1	0.007181858
RBM7	0.007212069
PCDHGA11	0.00723134
PRSS12	0.00723134
FLRT2	0.007249392
HP1BP3	0.007249392
A1CF	0.007261809
IL13RA1	0.007261809
CCNC	0.007277146
IFT81	0.007319668
CDK5RAP2	0.00734761
APPBP2	0.007368435
PCDHGA3	0.007368435
PPFIBP1	0.007368435
STIL	0.007368435
IMP4	0.007407449
PBX1	0.007425912
C1orf78	0.007438846
MED15	0.007438846
VPS24	0.007454196
H2AFV	0.007532617
ITSN1	0.007584712
PPP6C	0.007584712
UBFD1	0.007585032
DKFZP564O0523	0.007599515
PCOLCE2	0.007617853
GABRB3	0.007633914
MYOM1	0.007658878
GADD45B	0.007666842
CARHSP1	0.00769737
GSPT2	0.007701881
PRSS3	0.007722055
AHI1	0.007736395
PTPLA	0.007861313
RARB	0.007864459
ACADVL	0.007927551
RAMP2	0.00794122
ARHGAP8	0.008089345
TMPRSS2	0.008089345
SYT1	0.008108006
COL4A6	0.0081275
ANXA5	0.008164399
DDHD2	0.008164399
EPHA4	0.008311411
OAZ2	0.008316206
SCAMP1	0.008316206
PRR14	0.008341161
XYLT1	0.008351016
KLF5	0.008356388
DLC1	0.008357518
PRPH	0.008410895
KIAA1199	0.008438559
GAS1	0.008440451
MT1H	0.008468017
PPP1R3C	0.008468017
NDN	0.008517033
SEMA5A	0.008545254
SPOCK3	0.008545254
TMEM2	0.008545254
MAP4	0.00858068
NAP1L1	0.008597103
PPP2R5C	0.008669097
PGM3	0.008690222
NEU1	0.008714116
PLA2G12A	0.008714116
HNRPH1	0.008733874
MCOLN3	0.008744261
RINT1	0.008744603
ARHGAP26	0.008796603
EVI1	0.008825306
GUF1	0.008825306
PF4	0.008825306
TMEM132A	0.008825306
TMEM41B	0.008826798
PDK1	0.008827273
SC5DL	0.008827273
VGLL4	0.008834336
VEGFA	0.008935424
CEP76	0.008955799
FARSA	0.00896578
GRHL2	0.00896578
MORF4	0.008978449
C12orf39	0.00900886
FHL2	0.00900886
MSL-1	0.009010681
ANXA3	0.009021375
ARL4C	0.009034633
CXXC4	0.009097998
SLCO4C1	0.009186192
TBX2	0.009188041
TMEM165	0.009271905
DIRAS2	0.009282026
TNFRSF21	0.009282026
ZNF688	0.009282026
KBTBD2	0.00930232
DLGAP4	0.009322306
LOC729148	0.009390104
PWP1	0.009423443
PTP4A3	0.009446685
CLGN	0.009591599
CSHL1	0.009591599
GGCX	0.009620131
TIAM1	0.009620131
TOMM70A	0.009640796
CD93	0.009674709
RNPS1	0.009674709
BRD3	0.0097037
LPL	0.009820853
ADI1	0.009823216
TRIOBP	0.009854051
KDELR2	0.009880373
CD46	0.009882791
SYPL1	0.009899655
FAM108B1	0.009902499
PRAF2	0.009902499
PDHB	0.00990322
SH2B1	0.00991984
SCAMP4	0.009933938
MUC4	0.009953828
ZNF710	0.010014102
SAP30	0.010038279
CDK10	0.010129721
SLC7A2	0.010129721
EIF4EBP1	0.010131596
PHC2	0.010150301
BMP5	0.01016535
FMOD	0.010169847
GSN	0.010169847
RYBP	0.010169847
TMBIM4	0.010169847
GLUD2	0.01017853
TBC1D16	0.01017853
TIPARP	0.01017853
SEC14L5	0.010211772
NFATC3	0.010300887
CTDSP2	0.010424832
NPEPPS	0.010479423
CYTL1	0.010574877
WDR42A	0.010574877
C1orf63	0.010578093
KLK10	0.010585367
HS3ST1	0.010600697
CENPF	0.01064442
TRAP1	0.01064442
NKTR	0.01082815
ABR	0.010847554
HHAT	0.010870636
MRC2	0.010971179
MED14	0.011023949
GCNT1	0.011228782
APC	0.011385945
DPYSL3	0.011385945
TMEM47	0.011385945
PRSS2	0.011395831
STIP1	0.011401223
TMEM100	0.011478066
CTPS2	0.011529682
C10orf6	0.011539567
EIF2S1	0.011539567
PAK2	0.011652296
TMED10	0.011695886
CAV1	0.01172838
ZNF124	0.011838325
SMARCC2	0.011862426
NKX2-8	0.011926249
DOK4	0.011928277
PNN	0.011950165
NXT1	0.012007799
SDC1	0.012007799
THUMPD1	0.012007799
EGFL8	0.012018039
POGK	0.012041782
ARID3B	0.012119764
PFN2	0.012121048
LEPROT	0.012154499
TGFBR3	0.012163796
WDR1	0.012180829
GFOD2	0.012188547
TPI1	0.012188547
TRAM2	0.012188547
LGR4	0.012264596
COL6A1	0.012443769
RING1	0.012542694
HRASLS3	0.012623272
CACNA2D2	0.012679281
MT1P2	0.012679281
NDRG1	0.012857974
MSL2L1	0.01286884
HECA	0.012963497
NBPF11	0.012981349
INADL	0.013011865
GPR177	0.013013077
FGFR3	0.013068855
HSPA9	0.013068855
LRP2	0.013068855
HRC	0.013074499
DCN	0.013185058
SMAD2	0.013185058
CXorf57	0.013203312
IPO9	0.013203312
PKP4	0.013203312
MACF1	0.013260163
TKT	0.013271172
ZDHHC8P	0.013275771
ARF4	0.013324285
GCH1	0.013336972
AURKA	0.013343897
MRPS2	0.013351914
DACT1	0.013379701
ORC2L	0.013472865
NCOA1	0.01347649
FAM117A	0.013535809
RALA	0.013535809
GPC1	0.013614681
STRN4	0.013633936
FGF4	0.013702077
SPC25	0.013844611
OLFM1	0.013893004
USP10	0.014014277
BGN	0.014066127
C9orf82	0.014066127
GNB1	0.014066127
GPM6A	0.014066127
MTMR9	0.014066127
DDEFL1	0.014109415
HRASLS	0.014198005
COL4A2	0.014228148
FAM82B	0.014247189
PINK1	0.014422893
CDC73	0.014467014
TSC22D3	0.014546026
NIBP	0.014553481
YIPF5	0.014556541
GALNT12	0.014696715
ADD2	0.014798848
DKFZp586I1420	0.014841649
GRINA	0.01484714
COL9A2	0.014855634
HBB	0.014892629
CHD9	0.015019323
EYA1	0.015019323
LEMD3	0.01502514
HADHB	0.015032389
PARP6	0.015032389
S100PBP	0.015032389
ZNF358	0.015084492
BECN1	0.015098484
NOVA1	0.015112569
LOC388969	0.015233439
SULT1C4	0.015246069
ACAA1	0.015311702
EDN1	0.015347476
FBXO17	0.01566378
MTIF2	0.015706402
NMNAT2	0.015721618
ANG	0.01573732
TMEM49	0.01573732
ELOVL1	0.015770005
ANK2	0.015830959
LBA1	0.015982851
ACVR1B	0.016092787
DDX27	0.016140099
SMAD7	0.016140099
C7orf44	0.016350447
HGF	0.016350447
MYOZ3	0.016377117
ADD1	0.016504806
HADH	0.016583902
GGH	0.016591
PDK3	0.016591
USP18	0.016591
BAZ2B	0.016669589
NPY	0.016689292
SELL	0.016689292
N-PAC	0.016825918
TRAK1	0.016825918
PTN	0.016843083
SMARCC1	0.016843083
NTAN1	0.01696821
